Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,S&P Global Inc.,2-4 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,,0-5 Yrs,New Delhi,,Not disclosed
Data Analyst,Paytm,3-5 Yrs,"Noida, Mumbai (All Areas)",3.3,Not disclosed
Data Analyst,,0-5 Yrs,"New Delhi, Gurugram",,Not disclosed
Data Analyst,Nuvoretail,0-2 Yrs,New Delhi,4.3,Not disclosed
Data Analyst,Rpa Infotech,1-3 Yrs,Gurugram,2.7,Not disclosed
Data Analyst,,2-5 Yrs,New Delhi(Saket),,3-6 Lacs PA
Data Analyst,Avanto Business India,1-4 Yrs,New Delhi(Prem Nagar +1),3.3,Not disclosed
Data Analyst,,7-10 Yrs,Noida,,5-10 Lacs PA
Data Analyst,Capco,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,Boston Consulting Group,2-4 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,,4-9 Yrs,"Delhi / NCR, Hyderabad, Pune, Ahmedabad, Bengaluru, Mumbai (All Areas)",,Not disclosed
Data Analyst,,4-9 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,Incanus Technologies,1-6 Yrs,"Hybrid - Delhi / NCR, Pune, Bengaluru",3.8,5-15 Lacs PA
Data Analyst,Addverb Technologies,1-3 Yrs,Noida,3.9,Not disclosed
Data Analyst,S&P Global Inc.,2-4 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,S&P Global Inc.,2-4 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,S&P Global Inc.,2-4 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,S&P Global Inc.,2-4 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,S&P Global Inc.,2-5 Yrs,"Hyderabad, Gurugram",4.1,Not disclosed
Data Analyst,Maruti Suzuki,3-8 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,Bluecore Software,1-4 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.1,Not disclosed
Data Analyst,Mindpeers,1-3 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",2.1,Not disclosed
Data Analyst,,8-13 Yrs,"Delhi / NCR, Bengaluru, Mumbai (All Areas)",,14-24 Lacs PA
Data Analyst,Bluecore Software,2-3 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.1,Not disclosed
Data Analyst,,3-7 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,Riskspan,3-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.0,Not disclosed
Data Analyst,,2-7 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,3-5 Yrs,New Delhi,,Not disclosed
Data Analyst,,3-8 Yrs,"New Delhi, Bengaluru",,Not disclosed
Data Analyst,,6-9 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,1-2 Yrs,New Delhi,,Not disclosed
Data Analyst,Maruti Suzuki,3-6 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,VJL IT,10-20 Yrs,Delhi / NCR,2.6,20-30 Lacs PA
Data Analyst,S L Fasteners,1-3 Yrs,"New Delhi(Kundli), Noida, Sonipat",4.2,2.25-4 Lacs PA
Data Analyst,,1-4 Yrs,New Delhi,,Not disclosed
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,Gurgaon,3.8,Not disclosed
Data Analyst,,3-8 Yrs,"New Delhi, Noida, Ghaziabad",,4-8.5 Lacs PA
Data Analyst,Diensten Tech Limited,1-3 Yrs,Noida,3.3,Not disclosed
