Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Oscillate Infotech,1-3 Yrs,New Delhi,4.5,Not Disclosed,1.0,3.0,,
Data Analyst,Fleetx,1-2 Yrs,New Delhi,3.8,Not Disclosed,1.0,2.0,,
Data Analyst,Alliances Galore,1-3 Yrs,New Delhi,2.5,Not Disclosed,1.0,3.0,,
DATA ANALYST ( with Python skills ),Nsight Consulting,2-7 Yrs,New Delhi,3.0,Not Disclosed,2.0,7.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Confidential,2-4 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,4.0,,
DATA ANALYST,Nsight Consulting,2-7 Yrs,New Delhi,3.0,Not Disclosed,2.0,7.0,,
Data Analyst,SPG Corporation,3-5 Yrs,New Delhi,4.0,Not Disclosed,3.0,5.0,,
Data Analyst,Facts N Data,3-6 Yrs,New Delhi,5.0,Not Disclosed,3.0,6.0,,
Data Analyst,Teleperformance (TP),1-5 Yrs,New Delhi,3.9,Disclosed,1.0,5.0,7.0,9.0
Data Analyst,JPMorgan Chase Bank,2-5 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,2.0,5.0,,
Data Analyst,JPMorgan Chase Bank,2-5 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,2.0,5.0,,
Data Analyst,Accenture,1-6 Yrs,New Delhi,3.9,Not Disclosed,1.0,6.0,,
Data Analyst,Diensten Tech Limited,0-1 Yrs,New Delhi,3.3,Not Disclosed,0.0,1.0,,
Data Analyst,Snware Research Services,0-3 Yrs,New Delhi,2.6,Not Disclosed,0.0,3.0,,
Data Analyst,Wipro,3-7 Yrs,New Delhi,3.7,Not Disclosed,3.0,7.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Data Analyst,Paytm,3-5 Yrs,New Delhi,3.3,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Data Analyst,Nuvoretail,0-2 Yrs,New Delhi,4.3,Not Disclosed,0.0,2.0,,
Data Analyst,Rpa Infotech,1-3 Yrs,New Delhi,2.7,Not Disclosed,1.0,3.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Disclosed,2.0,5.0,3.0,6.0
Data Analyst,Avanto Business India,1-4 Yrs,New Delhi,3.3,Not Disclosed,1.0,4.0,,
Data Analyst,Confidential,7-10 Yrs,New Delhi,Not Rated,Disclosed,7.0,10.0,5.0,10.0
